stem,alg,stoi_noisy,pesq_noisy,stoi_stoiopt,pesq_stoiopt,stoi_pesqopt,pesq_pesqopt,stoi_balopt,pesq_balopt,snr_balopt
p257_335,spectralSubtractor,0.7970,1.0989,0.9388,2.8885,0.9388,2.8885,0.9388,2.8885,15.2497
p257_335,mmse,0.7970,1.0989,0.7978,1.2318,0.7439,1.5469,0.7761,1.4860,7.4864
p257_335,wiener,0.7970,1.0989,0.8818,2.7999,0.8818,2.7999,0.8818,2.7999,15.7549
p257_335,omlsa,0.7970,1.0989,0.8780,2.7002,0.8730,2.7255,0.8730,2.7255,14.7906
p257_355,spectralSubtractor,0.8846,1.1116,0.9766,2.8274,0.9725,2.9005,0.9725,2.9005,11.8857
p257_355,mmse,0.8846,1.1116,0.8689,1.1040,0.8426,1.6211,0.8499,1.6190,4.5729
p257_355,wiener,0.8846,1.1116,0.9420,2.5600,0.9417,2.6295,0.9417,2.6295,13.1802
p257_355,omlsa,0.8846,1.1116,0.9486,2.5614,0.9486,2.5614,0.9486,2.5614,11.4212
p257_373,spectralSubtractor,0.9358,1.1044,0.9861,3.5340,0.9802,3.5628,0.9802,3.5628,18.1744
p257_373,mmse,0.9358,1.1044,0.9206,1.1114,0.9152,2.0726,0.9152,2.0726,9.8310
p257_373,wiener,0.9358,1.1044,0.9684,3.2923,0.9684,3.2923,0.9684,3.2923,18.0962
p257_373,omlsa,0.9358,1.1044,0.9666,3.1550,0.9666,3.1550,0.9666,3.1550,18.5088
p257_383,spectralSubtractor,0.9145,1.2371,0.9892,3.3265,0.9878,3.4111,0.9878,3.4111,18.1294
p257_383,mmse,0.9145,1.2371,0.9020,1.2384,0.8913,1.3712,0.8996,1.3411,5.4946
p257_383,wiener,0.9145,1.2371,0.9755,2.9346,0.9753,3.0724,0.9753,3.0724,17.9843
p257_383,omlsa,0.9145,1.2371,0.9804,3.2338,0.9804,3.2338,0.9804,3.2338,17.8919
